,url,title,date,category,description
107,https://www.youtube.com/watch?v=GkU0cCU56TE,Starting Phase 4 of Decked Out! Phase 3 Winners Announced!,2023-10-02,VOD,
108,https://www.youtube.com/watch?v=2_eOBYC_X6Y,"Phase 4 Decked Out Runs! Hypno, Gem and Joe!",2023-10-03,VOD,
167,https://www.youtube.com/watch?v=28JB7rmFBXk,There's a TROLL in the Dungeon! And Its ME! - Hermitcraft 9: #52,2023-10-05,main,
109,https://www.youtube.com/watch?v=tCMmZjMIf20,Back from Vacation! Etho is Running Deadly!,2023-10-11,VOD,
110,https://www.youtube.com/watch?v=gus71HYHryo,Phase 4 Results for Decked Out are HERE!,2023-10-19,VOD,
111,https://www.youtube.com/watch?v=J5lgv3EX9Ac,Phase 5 Begins! HALLOWEEN Themed Decked Out!,2023-10-25,VOD,
112,https://www.youtube.com/watch?v=sX43LG3803g,The 54 Minute Etho Decked Out Run!?,2023-10-26,VOD,
113,https://www.youtube.com/watch?v=wqG-T1_NMLo,Phase 5 Results and Phase 6 Begins! And Introducing...Pancakes!,2023-10-31,VOD,
114,https://www.youtube.com/watch?v=6ISCccJNXas,Heckling Etho while he Runs Deadly!,2023-11-02,VOD,
115,https://www.youtube.com/watch?v=fegDknfMHYk,Level 4 - The Burning Dark Opens NOW!,2023-11-08,VOD,
116,https://www.youtube.com/watch?v=zrAHEaGKLjQ,Burning Dark Runs! Brand New Card Shuffler!,2023-11-09,VOD,
117,https://www.youtube.com/watch?v=7SCgJIlAjVE,I Custom Built an Insane OP Deck for Scar!,2023-11-11,VOD,
118,https://www.youtube.com/watch?v=-L_GmADa0fY,The First Successful Burning Dark Run!,2023-11-14,VOD,
119,https://www.youtube.com/watch?v=phF0U73FC7M,"Zedaph High Flying Stunts with Gem, Joe, Cub, Etho Mega Runs!",2023-11-16,VOD,
120,https://www.youtube.com/watch?v=6kpw-BmjeK0,Phase 7 Results and Pearl's Epic Deep Dark Runs!,2023-11-18,VOD,
121,https://www.youtube.com/watch?v=N39_QpQrWtU,Special Event! Six Amazing Guests Play Decked Out with Hermit Mentors!,2023-11-19,VOD,
122,https://www.youtube.com/watch?v=9nYTmWV80Tw,Huge Decked Out Announcement!,2023-11-29,VOD,
123,https://www.youtube.com/watch?v=Cy1yHfvSoOo,Cod of War! Jelly Roars! and... well yea.,2023-11-30,VOD,
124,https://www.youtube.com/watch?v=a2c3bnQHOqs,I added a YETI to Decked Out for Scar!,2023-12-02,VOD,
125,https://www.youtube.com/watch?v=5eikPI6gdgQ,Phase 8 Results! (Shorty Stream),2023-12-05,VOD,
126,https://www.youtube.com/watch?v=TzYLdJOhY7I,Decked Out Retrospective: What was Left Out?,2023-12-08,VOD,
127,https://www.youtube.com/watch?v=y7YPOHc7Eik,Decked Out Final Results and 8 Hermits Run Together!,2023-12-11,VOD,
128,https://www.youtube.com/watch?v=V4X86ZiL7d8,Decked Out Winner and Map Reveal! - Hermitcraft 9: #53,2023-12-11,main,
129,https://www.youtube.com/watch?v=NlcC_Wpe5C8,Decked Out: Post Mortem Chatty! What went right? What went wrong?,2023-12-12,VOD,
130,https://www.youtube.com/watch?v=3kTEZWRdYks,Redstone Tour of Decked Out!,2023-12-15,VOD,
131,https://www.youtube.com/watch?v=Yg6PfdJ_-9I,Goodbye Season 9! You were Incredible! - Hermitcraft 9: #54,2023-12-18,main,
132,https://www.youtube.com/watch?v=vI3gEJHLII4,Final Hermitcraft Season 9 Stream! Prep the world Download!,2023-12-19,VOD,
